"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1789166774619177166","Sat May 11 10:58:27 +0000 2024","3","@Heraloebss @ClarissaIcha Alhamdulillah miss tweet masih waras akhir akhir ini banyak yg memanfaatkan sentimen ke bea cukai untuk kebelet viral. Entah apa tujuannya","1789248702349255041","","Heraloebss","in","","0","0","0","https://x.com/NateRiver7910/status/1789248702349255041","1719029997846032384","NateRiver7910"
"967238338670297088","Sat Feb 24 03:22:45 +0000 2018","9","4) Pertama-tama kita tentu harus apresiasi kerja aparat kepolisian patroli bea cukai @INFOBNN dan TNI Angkatan Laut atas pengungkapan serangkaian upaya penyelundupan narkoba secara besar-besaran tadi. @jokowi","967238338670297088","","","in","Indonesia","0","1","2","https://x.com/fadlizon/status/967238338670297088","79139422","fadlizon"
"1789192023209316461","Sat May 11 11:06:20 +0000 2024","23","@Milan23fav @prastow @avatarcs999 Andi Pramono dan Edi Darmanto jadi tsk gratifikasi bukan krn kehebatan sistem internal Bea Cukai tapi karena ketololan mereka yg ganjen flexing harta kekayaan hasil gratifikasi lancung. Belum ada pegawai Becuk yg dibawa ke ranah hukum hasil penyelidikan internal","1789250682589163977","","Milan23fav","in","","0","1","1","https://x.com/Supriyo96848569/status/1789250682589163977","1603798219418308608","Supriyo96848569"
"1789288031914266710","Sat May 11 22:55:09 +0000 2024","7","@geloraco Bea cukai lebih parah dari jukir minimarket","1789429062890557497","","geloraco","in","Dunia","0","0","0","https://x.com/Mas_zobirin/status/1789429062890557497","912692135446536192","Mas_zobirin"
"1789218492803416293","Sun May 12 01:21:10 +0000 2024","9","@ClarissaIcha @beacukaiRI @prastow Apaan lu terima kasih doang. Klarifikasi goblok!! Maen fitnah aja. Sebelum ngetwit cari dulu info yg bener. Udah bikin ribut kaya gini doang?? Ini mah balesan kalo lu nanya dm tentang informasi bea cukai.","1789465808961511545","","ClarissaIcha","in","","0","0","0","https://x.com/false10s/status/1789465808961511545","1240436773227921408","false10s"
"1789329251373814066","Sat May 11 16:18:32 +0000 2024","0","PIHAK Bea Cukai Tegaskan Peti Jenazah Dibebaskan Bea Masuk https://t.co/EoHFAlZrsz via @tribunnews","1789329251373814066","","","in","Medan, Indonesia","0","0","0","https://x.com/tribunmedan/status/1789329251373814066","142305302","tribunmedan"
"1789274627245744277","Sat May 11 20:49:42 +0000 2024","50","@rahmaut bea... mas. bea masuk. yg kena cukai itu tembakau🇮🇩","1789397492972265775","","rahmaut","in","di Palung Terdalam","0","6","0","https://x.com/AwangSancaka/status/1789397492972265775","624428203","AwangSancaka"
"1789318930458395057","Sun May 12 00:28:05 +0000 2024","5","@Chameleon_x2 @RekeningSaldo @lucaxyzz @chikinmeokgo @fjr97x8j8f @pramayudhaamdan Pertama emang ada ya Bea Cukai Sky Priority? Dari situ aja udah keliatan astagaaaa","1789452452934349229","","Chameleon_x2","in","Bandung, Indonesia","0","0","0","https://x.com/AsadPawana/status/1789452452934349229","1217790933569171456","AsadPawana"
"1789104089458208825","Sat May 11 15:53:20 +0000 2024","5","@flxdx_34 @ClarissaIcha Sudah ada penjelasannya dan bukti terlampirnya bang yang dipost di akun @PartaiSocmed &amp; @beacukaiRI . Mungkin Mbak Clarissa atau temennya yang tidak ngeh dengan tagihan tsb dikiranya dari bea cukai padahal ternyata itu tagihan jasa handle peti jenazah pihak swasta.","1789322911834321270","","flxdx_34","in","Jakarta","0","1","0","https://x.com/shiddiqgandhi/status/1789322911834321270","2485088330","shiddiqgandhi"
"1789271601583911289","Sat May 11 12:29:27 +0000 2024","0","VIRAL Lagi Bea Cukai Kenakan Pajak 30 Persen Peti Jenazah Dikirim dari Penang Bea Cukai Malah Heran https://t.co/NrNKoAy2Qh via @tribunnews","1789271601583911289","","","in","Medan, Indonesia","0","1","0","https://x.com/tribunmedan/status/1789271601583911289","142305302","tribunmedan"
"1789274627245744277","Sun May 12 00:25:22 +0000 2024","6","@rahmaut Aslinya sih nggak dikenakan bea masuk barang impor. Tapi di lapangan kursi roda dianggap alkes sih sama petukas bea cukai. Dalihnya mereka kena titipan aturan (lagi) dari Kemenhealth &amp; Deperin.","1789451768033910985","","rahmaut","in","Cagliari","0","0","1","https://x.com/Duke_of_Nowhere/status/1789451768033910985","280307884","Duke_of_Nowhere"
